web-scraper-order,web-scraper-start-url,products,products-href,product_name,general_description,product_brand,product_description,product_specs
"1718376124-1","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","491-0530: 2.9 m3 (3.8 yd3), ISO Coupler, Welded-On Teeth","https://parts.cat.com/en/catcorp/491-0530","491-0530: 2.9 m3 (3.8 yd3), ISO Coupler, Welded-On Teeth","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2738 mm""},{""product_specs"":""Height: 1430 mm""},{""product_specs"":""Weight: 1206 kg""},{""product_specs"":""Length: 1581 mm""},{""product_specs"":""Capacity: 2.9 m³""},{""product_specs"":""Base Edge Thickness: 32 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718376126-2","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","491-0525: 2.5 m3 (3.3 yd3), Fusion™ Coupler, Bolt-On Cutting Edge","https://parts.cat.com/en/catcorp/491-0525","491-0525: 2.5 m3 (3.3 yd3), Fusion™ Coupler, Bolt-On Cutting Edge","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1358 mm""},{""product_specs"":""Weight: 1205 kg""},{""product_specs"":""Length: 1344 mm""},{""product_specs"":""Capacity: 2.5 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Cutting Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Fusion™ Coupler""}]"
"1718376129-3","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","491-0520: 2.5 m3 (3.3 yd3), ISO Coupler, Welded-On Teeth","https://parts.cat.com/en/catcorp/491-0520","491-0520: 2.5 m3 (3.3 yd3), ISO Coupler, Welded-On Teeth","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2738 mm""},{""product_specs"":""Height: 1350 mm""},{""product_specs"":""Weight: 1119 kg""},{""product_specs"":""Length: 1470 mm""},{""product_specs"":""Capacity: 2.5 m³""},{""product_specs"":""Base Edge Thickness: 32 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718376131-4","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","491-0515: 2.3 m3 (3.0 yd3), Fusion™ Coupler, Bolt-On Cutting Edge","https://parts.cat.com/en/catcorp/491-0515","491-0515: 2.3 m3 (3.0 yd3), Fusion™ Coupler, Bolt-On Cutting Edge","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2532 mm""},{""product_specs"":""Height: 1358 mm""},{""product_specs"":""Weight: 1090 kg""},{""product_specs"":""Length: 1343 mm""},{""product_specs"":""Capacity: 2.3 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Cutting Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Fusion™ Coupler""}]"
"1718376134-5","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","491-0510: 2.3 m3 (3.0 yd3), ISO Coupler, Welded-On Teeth","https://parts.cat.com/en/catcorp/491-0510","491-0510: 2.3 m3 (3.0 yd3), ISO Coupler, Welded-On Teeth","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2539 mm""},{""product_specs"":""Height: 1349 mm""},{""product_specs"":""Weight: 1025 kg""},{""product_specs"":""Length: 1471 mm""},{""product_specs"":""Capacity: 2.3 m³""},{""product_specs"":""Base Edge Thickness: 32 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718376136-6","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","490-3070: 2.9 m3 (3.8 yd3), Pin On, Welded-On Teeth","https://parts.cat.com/en/catcorp/490-3070","490-3070: 2.9 m3 (3.8 yd3), Pin On, Welded-On Teeth","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1439 mm""},{""product_specs"":""Weight: 1317 kg""},{""product_specs"":""Length: 1486 mm""},{""product_specs"":""Capacity: 2.9 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Cutting Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718376138-7","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","490-3060: 2.5 m3 (3.3 yd3), Pin On, Bolt-On Cutting Edge","https://parts.cat.com/en/catcorp/490-3060","490-3060: 2.5 m3 (3.3 yd3), Pin On, Bolt-On Cutting Edge","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1358 mm""},{""product_specs"":""Weight: 1230 kg""},{""product_specs"":""Length: 1375 mm""},{""product_specs"":""Capacity: 2.5 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Cutting Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718376140-8","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","490-3050: 2.3 m3 (3.0 yd3), Pin On, Bolt-On Cutting Edge","https://parts.cat.com/en/catcorp/490-3050","490-3050: 2.3 m3 (3.0 yd3), Pin On, Bolt-On Cutting Edge","Performance Series Flat Floor, General Purpose Buckets utilize a long flat floor that delivers improved results when back dragging and grading.","Brand: Cat","Cat® Flat Floor Buckets are Performance Series, General Purpose Buckets that incorporate a specially designed long floor and a rear cutting edge to provide optimum results and productivity when performing light grading or back-dragging—while retaining all the premium loading-characteristic of the Performance Series.","[{""product_specs"":""Width: 2532 mm""},{""product_specs"":""Height: 1349 mm""},{""product_specs"":""Weight: 1025 kg""},{""product_specs"":""Length: 1471 mm""},{""product_specs"":""Capacity: 2.3 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Cutting Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718376143-9","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","489-2200: MB250","https://parts.cat.com/en/catcorp/489-2200","489-2200: MB250","Utilizing a paddle auger and hydraulically controlled chute door to mixing material in a variety of applications.","Brand: Cat","Cat® Mixing Buckets for Cat Skid Steer Loaders and Compact Track Loaders are designed for material mixing in a variety of applications.  Utilizing a chain driven auger equipped with replaceable paddles the Cat Mixing Buckets ensure complete and repeatable mixing. Work can be completed in difficult to access areas, improving productivity and saving on transportation costs. Available with rigid and flexible chutes, the mixing buckets provide different methods to distribute material around job sites. The hydraulically controlled chute door opens a path for material to exit the bucket and is operated from the cab eliminating the need to exit the cab to open the bucket. The Cat Mixing Buckets are excellent for sidewalks, driveways, finish work, fence posts, footings and floors of small buildings.","[{""product_specs"":""Capacity: 0.25 m³""},{""product_specs"":""Width: 1390 mm""},{""product_specs"":""Required Hydraulics: Standard Flow""},{""product_specs"":""Auger Speed Range: 10-30 rpm""},{""product_specs"":""Drive Method: Chain""},{""product_specs"":""Height: 877 mm""},{""product_specs"":""Length: 814 mm""},{""product_specs"":""Optimal Hydraulic Flow: 60-70 lpm (16-18 gpm)""},{""product_specs"":""Optimal Hydraulic Pressure: 140-200 bar (2031-2901 psi)""},{""product_specs"":""Weight: 430 kg""},{""product_specs"":""Auger Diameter: 508 mm""},{""product_specs"":""Number of Auger Paddles: 11""},{""product_specs"":""Interface Type: Skid Steer Coupler""},{""product_specs"":""Overall Width: 1605 mm""}]"
"1718376145-10","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","489-2150: MB200","https://parts.cat.com/en/catcorp/489-2150","489-2150: MB200","Utilizing a paddle auger and hydraulically controlled chute door to mixing material in a variety of applications.","Brand: Cat","Cat® Mixing Buckets for Cat Skid Steer Loaders and Compact Track Loaders are designed for material mixing in a variety of applications.  Utilizing a chain driven auger equipped with replaceable paddles the Cat Mixing Buckets ensure complete and repeatable mixing. Work can be completed in difficult to access areas, improving productivity and saving on transportation costs. Available with rigid and flexible chutes, the mixing buckets provide different methods to distribute material around job sites. The hydraulically controlled chute door opens a path for material to exit the bucket and is operated from the cab eliminating the need to exit the cab to open the bucket. The Cat Mixing Buckets are excellent for sidewalks, driveways, finish work, fence posts, footings and floors of small buildings.","[{""product_specs"":""Capacity: 0.2 m³""},{""product_specs"":""Width: 1386 mm""},{""product_specs"":""Required Hydraulics: Standard Flow""},{""product_specs"":""Auger Speed Range: 10-30 rpm""},{""product_specs"":""Drive Method: Chain""},{""product_specs"":""Height: 731 mm""},{""product_specs"":""Length: 694 mm""},{""product_specs"":""Optimal Hydraulic Flow: 60-70 lpm (16-18 gpm)""},{""product_specs"":""Optimal Hydraulic Pressure: 140-200 bar (2031-2901 psi)""},{""product_specs"":""Weight: 290 kg""},{""product_specs"":""Auger Diameter: 406 mm""},{""product_specs"":""Number of Auger Paddles: 12""},{""product_specs"":""Interface Type: Skid Steer Coupler""},{""product_specs"":""Overall Width: 1602 mm""}]"
